albumID,artist,popular,loudness,speechiness,duration
177,BlackVeilBrides,79,-6.12,0.03,2.41
178,JameyJohnson,23,-8.37,0.04,5.09
179,JimmyFortune,47,-7.95,0.03,5.08
180,YonnieMcfly,28,-7.93,0.08,5.08
181,JohnnyCash,43,-9.07,0.08,5.08
182,NickJonas,60,-2.98,0.44,5.07
183,VinceGill,70,-3,0.04,5.07
184,ImagineDragons,90,-3.82,0.08,3.07
185,JakeOwen,20,-8.29,0.06,5.07
186,LarryHernandez,99,-5.04,0.15,2.97
187,MartinaMcBride,59,-6.78,0.05,5.06
188,ColtFord,75,-6.79,0.03,5.06
189,DierksBentley,46,-13.14,0.11,5.06
190,GunsN'Roses,33,-14.35,0.04,5.06
191,JustinTimberlake,75,-4.26,0.06,5.03
192,KellyClarkson,57,-6.74,0.06,5.03
193,Metallica,51,-5.23,0.08,5.03
194,ScottyMcCreery,64,-9.07,0.05,5.03
195,TheWeekend,32,-9.79,0.04,5.03
196,BimSkalaBim,52,-8.13,0.03,5.03
197,MarkRonson,55,-20.92,0.04,5.02
198,MerleHaggard,48,-4.7,0.1,5.02
199,BeaMiller,38,-6.79,0.04,5.02
200,AlessiaCara,57,-4.45,0.06,5.02
201,AThousandHorses,35,-5.39,0.12,5.02
202,Brooks&Dunn,10,-14.16,0.54,5.02
203,ElleKing,40,-7.97,0.03,5.02
204,RodStewart,72,-7.25,0.07,4.77
205,TheCadillacThree,34,-5.25,0.13,4.98
206,JacobWhitesides,33,-7.77,0.05,4.98
207,JaRule,32,-6.25,0.11,4.98
208,LaurenAlaina,29,-6.68,0.03,4.98
209,MarcAnthony,48,-8.71,0.26,4.96
210,TheGame,78,-5.93,0.31,2.58
211,ThePussycatDolls,52,-3.94,0.06,4.96
212,TylerFarr,64,-3.23,0.14,4.96
213,ClareDunn,58,-5.09,0.05,2.72
214,AdamLambert,15,-5.84,0.19,4.94
215,AndreaBocelli,39,-6.47,0.05,4.94
216,GaryAllan,71,-7.48,0.28,4.59
217,GeorgeJones,27,-11.39,0.04,4.94
218,JoeJonas,61,-7.5,0.03,3.21
219,KrystalKeith,51,-4.07,0.04,4.94
220,RayCharles,47,-15.32,0.05,3.97
221,RedHotChiliPeppers,43,-6.33,0.04,4.91
222,TheOakRidgeBoys,49,-3.69,0.09,4.91
223,KevinGates,25,-4.07,0.03,4.91
224,CassadeePope,46,-5.26,0.17,4.9
225,AugustAlsina,22,-9.04,0.04,4.34
226,RichHomieQuan,17,-9.27,0.06,4.9
227,AirSupply,73,-5.7,0.05,4.9
228,Brandy,43,-5.92,0.35,4.9
229,OneRepublic,40,-16.84,0.08,3.07
230,Pitbull,35,-9.4,0.14,4.9
231,RobinThicke,53,-7.6,0.03,4.9
232,SnoopDogg,43,-5.62,0.06,4.86
233,TravisTritt,27,-8.49,0.12,4.86
234,Chvrches,48,-3.96,0.04,4.86
235,Lorde,37,-11.72,0.06,4.85
236,AlisonKrauss,17,-6.45,0.04,4.85
237,AAPRocky,33,-9.91,0.04,4.85
238,Jeremih,33,-6.65,0.04,4.83
239,Panic!AttheDisco,34,-8.67,0.04,3.48
240,SherylCrow,60,-7.1,0.07,4.83
241,TraceAdkins,37,-8.28,0.03,4.83
242,Tyga,8,-14.27,0.03,4.35
243,RubyRose,68,-5.86,0.03,4.81
244,BoneThugs-n-Harmony,41,-4.69,0.11,4.81
245,DavidNail,13,-4.17,0.05,4.81
246,DuranDuran,38,-13.9,0.04,2.3
247,KipMoore,41,-5.39,0.08,4.79
248,Wallpaper.,65,-4.03,0.36,4.79
249,DejLoaf,35,-3.78,0.04,4.79
250,AshleyMonroe,17,-3.85,0.05,4.79
251,ChristinaAguilera,56,-2.44,0.04,4.79
252,DianaRoss,43,-2.24,0.11,4.79
253,LucianoPavarotti,60,-11.43,0.04,4.78
254,LuckyDube,77,-5.84,0.23,2.64
255,Nas,18,-6.39,0.04,4.78
256,NorahJones,40,-5.27,0.07,3.28
257,MasonNoise,37,-7.71,0.14,4.78
258,MadelynVictoria,32,-10.46,0.04,4.78
259,AliciaKeys,34,-6.98,0.04,4.77
260,Avicii,67,-7.51,0.04,4.77
261,BryanAdams,83,-8.95,0.04,4.77
262,FaithHill,55,-9.77,0.04,4.77
263,MGK,46,-10.58,0.08,4.76
264,Scarface,60,-3.5,0.22,4.76
265,AustinMahone,56,-14.38,0.04,4.76
266,Disclosure,48,-3.65,0.1,4.76
267,JamesBay,44,-7.9,0.05,4.72
268,XanderDemos,72,-5.55,0.05,4.72
269,JonyPrivat,30,-4.1,0.06,4.72
270,CharliePuth,69,-8.68,0.03,4.72
271,AmyWinehouse,39,-6.9,0.04,4.72
272,G-Eazy,49,-21.75,0.04,4.72
273,GretchenWilson,20,-4.17,0.12,4.7
274,JhenAcAiko,52,-6.14,0.03,4.7
275,Mumford&Sons,16,-9.51,0.03,4.7
276,Nickelback,87,-6.96,0.05,4.7
277,SaraEvans,31,-14.01,0.03,4.69
278,SeanPaul,33,-8.58,0.04,4.69
279,SpiceGirls,69,-7.95,0.15,4.69
280,Train,51,-14.16,0.04,5.02
281,WilliamMichaelMorgan,54,-8.28,0.03,4.69
282,thtthe,76,-7.09,0.05,2.74
283,ConwayTwitty,93,-5.49,0.03,4.68
284,Dr.Dre,35,-5.04,0.04,4.68
285,Ice-T,20,-13.42,0.08,4.68
286,JenniferNettles,69,-4.67,0.15,4.65
287,JuneCarterCash,12,-9.3,0.04,4.65
288,KrisKristofferson,56,-5.73,0.04,4.65
289,LilBoosie,42,-18.83,0.04,3.14
290,LucindaWilliams,35,-13.56,0.03,3.36
291,MarvinGaye,54,-7.35,0.08,4.64
292,TheScript,47,-3.96,0.03,4.64
293,Zedd,75,-9.18,0.03,4.64
294,Kyle(Rapper),63,-9.73,0.11,4.62
295,Dan+Shay,45,-4.85,0.1,4.62
296,AaronLewis,54,-7.21,0.06,4.62
297,AmberRose,65,-6.46,0.22,4.59
298,BillyCurrington,80,-9.12,0.03,4.69
299,CherLloyd,40,-19.13,0.06,4.53
300,KurtCobain,30,-7.94,0.04,4.59
301,Paramore,58,-5.58,0.03,4.59
302,P!nk,1,-6.64,0.04,6.24
303,Salt-N-Pepa,42,-4.63,0.06,4.59
304,Slipknot,34,-6.02,0.1,4.59
305,Tarkan,38,-12.95,0.21,4.59
306,TheNotoriousB.I.G.,49,-3.07,0.05,4.59
307,CharlieAllen,40,-4.78,0.07,4.58
308,JoeNichols,46,-8.48,0.04,4.14
309,JohnAnderson,50,-7.2,0.04,4.58
310,Lil'Kim,28,-3.5,0.04,4.58
311,Nirvana,48,-12.18,0.03,4.56
312,OwlCity,32,-6.24,0.07,4.56
313,Seal,45,-10.42,0.04,4.56
314,TheBeatles,76,-14.88,0.04,4.5
315,Zendaya,23,-12.15,0.03,4.56
316,CAclineDion,47,-11.49,0.04,4.56
317,DeitrickHaddon,38,-4.32,0.06,4.56
318,LionelRichie,68,-6.03,0.07,4.53
319,PanjabiMC,45,-5.94,0.05,4.53
320,RandyTravis,69,-5.35,0.07,4.53
321,blink-oneeighttwo,19,-6.45,0.11,4.53
322,BrendaLee,33,-5.25,0.19,4.53
323,GeneWatson,30,-5.85,0.05,4.53
324,J.Cole,66,-6.54,0.03,4.53
325,JamesBlunt,54,-6.87,0.04,4.52
326,SaraBareilles,31,-9.58,0.04,4.52
327,SawyerBrown,47,-5.24,0.21,4.52
328,TyDollaign,76,-7.09,0.02,4.34
329,HeidiFeek,34,-5.98,0.04,4.52
330,SawyerFredericks,49,-5.99,0.04,4.51
331,AliceCooper,34,-8.07,0.1,4.51
332,Ashanti,54,-4.03,0.07,4.51
333,Diddy,36,-6.23,0.04,4.51
334,Florence+TheMachine,36,-11.79,0.07,4.5
335,Genesis,45,-7.9,0.05,4.5
336,HankWilliams,83,-2.91,0.07,4.5
337,Omarion,67,-5.15,0.09,4.5
338,ShaneOwens,27,-3.93,0.22,4.44
339,TheMavericks,28,-4.96,0.07,4.44
340,TokioHotel,59,-8,0.04,4.44
341,ChiefKeef,25,-4.61,0.05,4.44
342,JessGlynne,40,-4.84,0.03,4.42
343,ElectricLightOrchestra,69,-8.68,0.03,4.42
344,EmmylouHarris,42,-6.49,0.11,4.42
345,JulioIglesias,37,-9.8,0.07,4.42
346,LeAnnRimes,35,-8.97,0.14,4.42
347,MyChemicalRomance,65,-4.85,0.04,4.42
348,Torrent,40,-17.53,0.04,4.31
349,Zahara,37,-10.13,0.04,4.4
350,SarahRoss,57,-6.57,0.04,3.85
351,BrysonTiller,15,-6.32,0.03,4.4
352,BeeGees,44,-4.8,0.06,4.4
353,BowWow,73,-17.29,0.04,4.4
354,Cam,62,-7.05,0.02,3.91
355,CrazyFrog,46,-4.76,0.05,4.38
356,DavidAllanCoe,61,-6.13,0.37,4.38
357,Jaheim,45,-3.9,0.17,4.38
358,JakeMiller,42,-9.31,0.04,8.52
359,JamieFoxx,32,-4.52,0.03,4.35
360,Kem,64,-5.29,0.03,4.35
361,LorrieMorgan,32,-10.58,0.11,4.35
362,Macklemore,37,-6.26,0.03,4.35
363,LutherVandross,45,-8.29,0.06,4.35
364,MajorLazer,72,-5.61,0.05,4.35
365,MasterP,59,-11.35,0.04,4.35
366,Omi,29,-6.4,0.06,4.35
367,OliviaNewton-John,36,-5.21,0.05,4.35
368,RickyMartin,39,-7.75,0.04,4.35
369,RonnieDunn,71,-8.26,0.03,4.34
370,TheRollingStones,39,-9.43,0.03,4.34
371,TheRunaways,54,-6.65,0.03,4.34
372,SaintGurmeetRamRahimSinghJiInsan,29,-12.1,0.04,4.34
373,makogirls,46,-8.19,0.06,4.34
374,ABC,71,-6.27,0.08,4.34
375,A.R.Rahman,33,-7.38,0.03,4.34
376,BigSean,42,-12.18,0.04,4.34
377,BigTimeRush,37,-7.05,0.06,4.33
378,BobMarley,41,-5.41,0.09,4.33
379,BonJovi,41,-4.64,0.05,4.33
380,ClintBlack,3,-11.84,0.03,4.33
381,Fabolous,46,-6.44,0.03,4.31
382,HannahMontana,74,-5.45,0.04,4.31
383,JessieJamesDecker,19,-7.63,0.03,6.48
384,Keha,65,-4.7,0.04,4.31
385,Mario,69,-5.95,0.08,4.31
386,NSync,53,-9.8,0.04,4.3
387,ParokyaniEdgar,33,-4.83,0.03,4.3
388,RodneyCarrington,26,-15.94,0.03,4.3
389,ToniBraxton,33,-11.97,0.07,4.3
390,MarianasTrench,38,-10.85,0.09,4.27
391,bigandrich,57,-6.8,0.09,4.27
392,TraviScott,56,-13.38,0.06,2.57
393,AVANT,55,-4.93,0.29,4.27
394,PnBRock,50,-12.03,0.27,4.27
395,DaddyYankee,8,-7.88,0.03,4.27
396,EricClapton,32,-7.85,0.05,4.27
397,GreenDay,58,-6.91,0.03,4.27
398,KumarSanu,45,-7.98,0.03,4.21
399,LLCoolJ,29,-11.79,0.06,4.21
400,MeatLoaf,57,-7.27,0.03,4.21
401,ScottHoying,15,-8.88,0.13,4.21
402,WALKTHEMOON,48,-7.98,0.4,4.21
403,JonPardi,57,-7.26,0.04,3.66
404,Migos,28,-10.05,0.03,4.21
405,ToveLo,38,-6.1,0.03,4.21
406,Hozier,57,-7.39,0.04,4.21
407,OlaDips,38,-10.51,0.03,4.21
408,twoChainz,63,-9.07,0.03,4.21
409,AC/DC,70,-7.9,0.04,4.21
410,AllTimeLow,55,-17.19,0.04,2.56
411,BillieHoliday,76,-8.13,0.03,4.51
412,BonnieRaitt,60,-9.04,0.02,4.52
413,Buggles,48,-6.95,0.04,4.21
414,Dailey&Vincent,30,-9.62,0.05,4.21
415,CraigMorgan,49,-21.35,0.04,4.18
416,Disturbed,37,-8.71,0.03,4.18
417,DonHenley,66,-8.43,0.04,3.95
418,FrenchMontana,14,-10.08,0.03,4.18
419,GladysKnight,66,-6.85,0.04,4.17
420,GWAR,59,-5.2,0.05,4.17
421,JasonMraz,20,-11.14,0.03,4.17
422,LeeAnnWomack,34,-13.28,0.05,4.14
423,MartyStuart,29,-4.32,0.1,4.14
424,MichaelBolton,80,-4.85,0.07,4.14
425,Sade,60,-6.39,0.05,4.14
426,Sugarland,49,-3.56,0.04,4.14
427,TheBlackKeys,33,-10.63,0.03,3.45
428,YolandaAdams,54,-10.49,0.07,4.14
429,PriyankaChopra,64,-4.64,0.07,4.14
430,Echosmith,76,-5.19,0.09,4.14
431,AnthonyHamilton,29,-13.44,0.03,4.14
432,BillKeith,44,-5.04,0.03,4.14
433,Calibrefivezero,58,-4.91,0.04,4.11
434,Chipmunk,70,-4.54,0.1,4.11
435,CollectiveSoul,2,-11.28,0.04,4.11
436,DefLeppard,28,-7.15,0.03,4.08
437,IceCube,66,-11.39,0.06,4.08
438,ErykahBadu,40,-7.31,0.03,4.08
439,FlavorFlav,33,-5.45,0.23,4.08
440,JohnMayer,71,-5.53,0.04,4.07
441,KidInk,47,-6.04,0.34,4.07
442,LosTigresdelNorte,18,-5.48,0.13,4.07
443,LindsayEll,45,-7.59,0.03,4.07
444,LynyrdSkynyrd,28,-4.57,0.06,4.07
445,MindlessBehavior,80,-5.71,0.34,4.07
446,PistolAnnies,8,-7.43,0.04,4.07
447,RodneyAtkins,34,-7.48,0.05,4.07
448,Shaggy,56,-4.93,0.04,4.07
449,T-Pain,22,-12.24,0.21,4.07
450,TinaTurner,55,-4.97,0.04,4.05
451,Tool,51,-2.67,0.15,4.05
452,TrishaYearwood,59,-5.73,0.04,4.05
453,WaylonJennings,82,-5.23,0.07,4.05
454,TheLacs,48,-6.96,0.16,4.05
455,TheChainsmokers,67,-7.97,0.25,4.05
456,HAVICdynasty,34,-6.06,0.02,4.05
457,NickFestari,53,-5.04,0.03,4.04
458,ninetynine,58,-6.9,0.04,4.04
459,Alabama,46,-3.42,0.11,3.04
460,BlackberrySmoke,32,-6.98,0.05,4.04
461,BustaRhymes,25,-10.72,0.03,7.02
462,ChrisIsaak,71,-3.73,0.13,4.03
463,DavidBowie,27,-7.51,0.06,4.03
464,DavidCook,29,-4.26,0.04,4.03
465,DonOmar,30,-7.93,0.03,4.03
466,HotChelleRae,14,-10.76,0.04,4.03
467,JessicaSimpson,34,-11.14,0.06,4.03
468,JoDeeMessina,57,-4.88,0.06,4.03
469,LorettaLynn,43,-3.4,0.04,4.03
470,MarilynManson,43,-6.45,0.08,4.03
471,Maxwell,37,-4.93,0.06,4.03
472,MontgomeryGentry,76,-5.16,0.08,4.03
473,Monica,76,-15.35,0.03,4.01
474,NewKidsontheBlock,46,-6.24,0.06,4.01
475,PinkFloyd,32,-8.01,0.03,4.01
476,PiercetheVeil,31,-7.09,0.04,4.01
477,PorterWagoner,56,-8.2,0.38,4.01
478,Queen,51,-11.71,0.1,4.01
479,YoungJeezy,41,-3.34,0.05,4.01
480,StevePerry,65,-8.47,0.05,3.26
481,TanyaTucker,22,-12.07,0.5,4.01
482,TheSpillCanvas,42,-7.31,0.04,4.01
483,TomJones,62,-11.56,0.04,4.01
484,Tyrese,46,-10.07,0.04,3.98
485,Whitesnake,43,-5.5,0.09,3.98
486,Will.I.Am,26,-4.09,0.16,3.98
487,YG,34,-7.2,0.03,3.97
488,SammyArriaga,40,-8.14,0.11,3.97
489,MoPitney,33,-3.79,0.04,3.97
490,RichGang,76,-5.55,0.14,3.97
491,Years&Years,51,-8.79,0.5,3.97
492,JacquieLee,73,-8.46,0.17,3.97
493,RaeSremmurd,33,-4.02,0.11,3.97
494,Aerosmith,28,-7.17,0.03,3.97
495,ABBA,56,-4.96,0.14,3.97
496,BeastieBoys,33,-5.61,0.03,3.97
497,B.o.B,30,-11.02,0.03,4.07
498,Cee-LoGreen,63,-4.74,0.05,3.97
499,ChrisLeDoux,24,-6.19,0.05,3.96
500,Genesis,34,-3.33,0.77,4.44
501,Joey+Rory,60,-4.96,0.05,11.61
502,DraacoAventura,54,-7.23,0.04,11.61
503,JustinBieber,35,-8.33,0.05,11.61
504,PeervanMladen,66,-6.53,0.06,9.01
505,ChrisJanson,53,-4.28,0.22,9.01
506,OneDirection,53,0.88,0.11,9.01
507,Drake,48,-9.65,0.1,9.01
508,CarrieUnderwood,55,-9.92,0.03,3.11
509,EdSheeran,29,-5.4,0.05,8.82
510,TaylorSwift,14,-4.35,0.03,8.82
511,SayWeCanFly,11,-8.59,0.03,4.33
512,SelenaGomez,59,-5.19,0.07,8.82
513,ChrisBrown,34,-7.62,0.05,8.52
514,NickiMinaj,34,-12.07,0.03,4.44
515,FifthHarmony,76,-10.16,0.05,8.52
516,ThomasRhett,37,-6.52,0.04,8.52
517,Eminem,14,-3.61,0.04,8.52
518,BeyoncAc,31,-4.73,0.05,8.38
519,MeghanTrainor,29,-5.94,0.02,8.38
520,TwentyOnePilots,70,-5.8,0.06,8.38
521,FettyWap,48,-8.07,0.04,8.34
522,fiveSecondsOfSummer,44,-9.83,0.29,8.34
523,JasonAldean,29,-9.45,0.11,8.34
524,LukeBryan,44,-6.13,0.08,7.62
525,BlakeShelton,44,-12.16,0.03,7.62
526,Rihanna,55,-8.44,0.11,7.62
527,ElvisPresley,73,-13.22,0.09,7.54
528,ArianaGrande,35,-10.14,0.04,7.54
529,JDShelburne,66,-6.51,0.04,7.54
530,LilWayne,30,-6,0.09,7.23
531,DemiLovato,81,-4.05,0.05,7.23
532,Maroonfive,4,-4.29,0.09,7.23
533,SamHunt,49,-3.65,0.14,7.21
534,GeorgeStrait,42,-7.33,0.15,7.21
535,WizKhalifa,16,-20.32,0.04,3.5
536,MirandaLambert,29,-3.99,0.06,7.21
537,DJKhaled,47,-15.17,0.04,2.82
538,PornoforPyros,47,-9.28,0.04,7.02
539,KatyPerry,37,-12.83,0.04,7.02
540,MileyCyrus,44,-6.49,0.12,7.02
541,TimMcGraw,63,-6.87,0.03,7.02
542,TheWeeknd,44,-6.5,0.03,6.9
543,Macklemore&RyanLewis,55,-7.5,0.08,6.9
544,EllieGoulding,55,-9.36,0.04,6.9
545,MichaelJackson,49,-9.1,0.03,6.9
546,RascalFlatts,37,-7.41,0.07,6.84
547,BritneySpears,56,-8.21,0.04,6.84
548,ZacBrownBand,47,-19.2,0.04,6.84
549,HeartytwoRaw,49,-7.55,0.04,6.79
550,Future,48,-4.25,0.04,6.79
551,LadyAntebellum,55,-9.93,0.03,3.39
552,AdamLevine,28,-10.36,0.12,6.79
553,JanetJackson,47,-9.18,0.04,6.76
554,KeithUrban,77,-8.9,0.04,6.76
555,SamSmith,53,-11.49,0.04,6.76
556,JasonDerulo,18,-13.89,0.03,6.76
557,ToriKelly,9,-10.52,0.06,6.48
558,twoPac,34,-6.58,0.03,6.48
559,Ciara,41,-4.87,0.09,6.48
560,OldDominion,49,-9.34,0.03,6.48
561,RandyHouser,20,-9.57,0.06,3.58
562,EricChurch,59,-3.96,0.04,6.26
563,Shakira,38,-9.42,0.03,6.26
564,BrunoMars,56,-4.78,0.3,6.26
565,LittleBigTown,26,-7.57,0.03,6.24
566,RickRoss,41,-15.79,0.15,6.24
567,TobyKeith,35,-9.33,0.42,6.24
568,BrianCollins,30,-3.06,0.1,6.24
569,Sia,54,-6.41,0.06,6.18
570,DixieChicks,24,-8.52,0.03,6.18
571,KanyeWest,63,-6.27,0.14,6.18
572,ShaniaTwain,68,-5.67,0.08,6.11
573,EnriqueIglesias,43,-7.98,0.04,6.11
